"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"23089","58.077212","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-33 dBm","6"
"23090","58.077215","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-34 dBm","6"
"23091","58.077217","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-34 dBm","6"
"23113","58.139830","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"23461","59.167336","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"23501","59.266358","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"23540","59.368863","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"23564","59.428192","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-36 dBm","6"
"23565","59.434556","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-36 dBm","6"
"23566","59.434561","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-35 dBm","6"
"23567","59.434564","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-36 dBm","6"
"23609","59.583559","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"23647","59.677059","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"23657","59.717928","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-36 dBm","6"
"23658","59.717931","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-35 dBm","6"
"23659","59.720040","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-36 dBm","6"
"23660","59.722458","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-38 dBm","6"
"23683","59.779150","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"23727","59.884094","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"23765","59.981883","Commscope_23:24:6c","Broadcast","802.11","287","-41 dBm","6.5"
"23808","60.085681","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"23838","60.190910","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"23874","60.297489","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"23894","60.362007","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-34 dBm","6"
"23895","60.362010","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-34 dBm","6"
"23896","60.362013","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-35 dBm","6"
"23898","60.363657","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-36 dBm","6"
