"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"649","3.010114","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2835, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"668","3.112452","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2839, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"687","3.214871","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2843, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"705","3.317291","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-86 dBm","Beacon frame, SN=2847, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"728","3.419714","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2851, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"753","3.522055","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2855, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"776","3.624655","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2859, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"803","3.726868","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2867, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"823","3.829294","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2871, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"852","3.928233","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-13 dBm","Probe Response, SN=2875, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"853","3.928935","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","0 dBm","Probe Response, SN=2875, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"854","3.930520","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-13 dBm","Probe Response, SN=2875, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"855","3.931926","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2876, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
