"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"9735","32.621431","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9761","32.721064","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"9791","32.822975","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"9814","32.931720","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"9841","33.026655","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm"
"9868","33.130675","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"9880","33.180787","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-31 dBm"
"9881","33.180793","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-29 dBm"
"9882","33.180796","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-30 dBm"
"9883","33.180800","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-30 dBm"
"9891","33.206994","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-31 dBm"
"9893","33.206998","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-30 dBm"
