"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"11047","45.985294","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-28 dBm","Beacon frame, SN=3930, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11074","46.087629","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-28 dBm","Beacon frame, SN=3935, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11098","46.190118","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-28 dBm","Beacon frame, SN=3941, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11130","46.292539","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-28 dBm","Beacon frame, SN=3948, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11149","46.394987","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-27 dBm","Beacon frame, SN=3954, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11168","46.467557","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-27 dBm","Probe Response, SN=3958, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11169","46.470245","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-27 dBm","Probe Response, SN=3958, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11170","46.471281","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-27 dBm","Probe Response, SN=3958, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11171","46.471917","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-28 dBm","Probe Response, SN=3958, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11175","46.496706","6e:10:6f:6c:b3:a4","Broadcast","802.11","196","-43 dBm","Probe Request, SN=141, FN=0, Flags=........C, SSID=""MahjFi""","""MahjFi""","1"
"11176","46.497728","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-27 dBm","Beacon frame, SN=3959, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11180","46.500043","1e:9d:72:6d:c4:11","6e:10:6f:6c:b3:a4","802.11","516","-27 dBm","Probe Response, SN=3963, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11184","46.506381","6e:10:6f:6c:b3:a4","Broadcast","802.11","196","-44 dBm","Probe Request, SN=142, FN=0, Flags=........C, SSID=""MahjFi""","""MahjFi""","1"
"11194","46.584684","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-28 dBm","Probe Response, SN=3964, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11195","46.585449","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-29 dBm","Probe Response, SN=3964, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11198","46.590866","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-29 dBm","Probe Response, SN=3964, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11201","46.598916","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-29 dBm","Probe Response, SN=3964, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11202","46.600172","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-72 dBm","Beacon frame, SN=3965, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
