"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"28861","95.254548","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2571, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28889","95.356992","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2575, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28912","95.459381","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2579, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28938","95.561786","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2583, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28966","95.664168","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2587, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28985","95.766523","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2591, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29013","95.868952","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2596, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29041","95.971353","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2600, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29065","96.076420","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2604, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29090","96.176164","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2610, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29108","96.278561","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2615, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29136","96.381390","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2619, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29154","96.483584","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2623, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29178","96.585765","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-32 dBm","Beacon frame, SN=2627, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29202","96.688195","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2631, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
